update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
4,0,0,0,2,0,0,0,0,0
5,0,0,0,2,0,0,0,0,0
6,0,0,0,2,0,0,1,0,0
7,0,0,1,3,0,0,1,0,0
8,0,0,1,3,0,0,3,0,0
9,0,0,1,3,0,0,3,0,1
10,0,0,1,3,0,0,3,0,2
11,0,0,1,3,0,0,3,0,2
12,0,0,1,3,0,0,3,0,2
13,0,0,1,4,0,0,4,0,2
14,0,0,1,5,0,0,4,0,2
15,0,0,1,5,0,0,4,0,2
16,0,0,1,5,0,0,5,0,2
17,0,0,1,5,0,0,5,0,2
18,0,0,1,5,0,0,5,0,3
19,0,0,1,5,0,0,5,0,3
20,0,0,1,4,0,0,5,0,3
21,0,1,1,4,0,0,5,0,3
22,0,1,1,4,0,0,5,0,3
23,0,1,1,4,0,0,5,1,3
24,0,1,2,4,0,0,5,1,3
25,0,1,2,4,0,0,5,1,3
26,0,1,2,4,0,0,5,1,3
27,0,1,2,4,0,1,5,1,3
28,0,1,2,5,1,1,5,1,3
29,0,1,2,5,1,1,5,1,3
30,0,1,3,5,1,1,5,1,3
31,0,1,3,5,1,1,6,1,3
32,0,1,3,6,1,1,6,1,3
33,0,1,3,6,1,1,6,1,2
34,0,1,3,6,1,1,7,1,2
35,0,1,3,6,1,1,7,1,2
36,0,1,3,6,1,1,6,1,2
37,0,1,3,6,1,1,7,1,2
38,0,1,3,6,1,1,7,1,2
39,0,1,3,6,1,1,7,1,2
40,0,1,4,6,1,1,6,1,2
41,0,1,4,6,1,1,6,1,2
42,0,1,4,6,1,1,6,1,2
43,0,1,4,6,1,1,6,1,2
44,0,1,6,6,1,1,7,1,2
45,0,1,6,6,1,1,7,1,2
46,0,1,6,5,1,1,7,1,2
47,0,1,7,5,1,1,7,0,2
48,0,1,7,6,1,1,7,0,2
49,0,1,7,6,1,1,7,0,2
50,0,1,7,6,1,1,7,0,2
51,0,1,6,6,1,1,8,0,2
52,0,1,6,6,1,1,8,0,2
53,0,1,6,6,1,1,8,0,2
54,0,1,6,6,1,1,8,0,2
55,0,1,6,6,1,1,8,0,2
56,0,1,5,5,0,1,9,0,2
57,0,1,5,5,0,1,9,0,2
58,0,0,5,5,0,1,9,0,3
59,0,0,5,5,0,1,9,0,3
60,0,0,6,5,0,1,8,0,3
61,0,0,6,5,0,1,8,0,3
62,0,0,6,5,1,1,8,0,3
63,0,0,5,6,1,1,8,0,3
64,0,0,5,6,1,1,7,0,3
65,0,0,5,6,1,1,7,0,4
66,0,0,5,5,1,1,7,0,4
67,0,0,4,5,1,1,7,0,4
68,0,0,4,4,1,2,7,0,4
69,0,0,4,4,1,2,7,0,4
70,0,0,4,4,2,2,7,0,4
71,0,0,5,4,2,2,7,0,3
72,0,0,5,3,2,2,7,0,3
73,0,0,6,3,2,2,7,0,3
74,0,0,6,3,2,2,7,0,3
75,0,0,6,4,2,2,6,0,3
76,0,0,7,4,2,2,6,0,3
77,0,0,7,4,2,2,7,0,3
78,0,0,8,4,2,2,8,0,3
79,0,0,8,5,3,2,7,0,3
80,0,0,9,6,3,2,7,0,3
81,0,0,9,6,3,2,7,0,3
82,0,0,9,6,3,2,7,0,3
83,0,0,9,6,3,2,7,0,3
84,0,0,9,7,3,2,7,0,3
85,0,1,9,7,3,2,7,0,3
86,0,1,10,7,3,2,7,0,3
87,0,1,10,8,3,2,7,0,3
88,0,1,10,8,3,2,8,0,3
89,0,1,10,8,3,2,8,0,3
90,0,1,10,8,3,2,9,0,3
91,0,1,10,8,3,2,9,0,3
92,0,1,10,8,3,2,11,0,3
93,0,1,10,8,3,2,12,0,3
94,0,1,9,8,3,2,13,0,3
95,0,1,9,8,3,2,13,0,3
96,0,1,9,8,3,2,13,0,3
97,0,1,9,8,3,2,13,1,3
98,0,1,8,8,2,2,13,1,2
99,0,1,8,8,2,2,12,0,2
