update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0
3,0,0,0,1,0,0,0,0,1
4,0,0,0,1,0,0,1,0,1
5,0,0,0,2,0,0,1,0,2
6,0,0,0,2,0,0,1,0,2
7,0,0,0,2,0,0,1,0,2
8,0,0,0,2,0,0,1,0,2
9,0,0,0,2,0,0,1,0,2
10,0,0,0,3,0,0,1,0,2
11,0,0,0,4,0,0,2,0,2
12,0,0,0,5,0,1,2,0,2
13,0,0,0,5,0,1,2,0,2
14,0,0,0,5,0,1,2,0,3
15,0,0,0,5,0,1,2,0,3
16,0,0,0,5,0,1,2,0,3
17,0,0,1,5,0,1,2,0,3
18,0,0,1,5,1,1,2,0,4
19,0,0,1,5,1,1,3,0,4
20,0,0,1,5,1,1,3,1,4
21,0,0,1,5,1,1,5,1,4
22,0,0,1,5,1,1,5,1,4
23,0,0,1,6,1,1,5,1,4
24,0,0,2,6,1,1,5,1,4
25,0,0,4,6,1,1,5,1,4
26,0,0,4,6,1,1,6,1,4
27,0,0,4,6,1,1,6,1,4
28,0,0,4,6,1,1,6,1,5
29,0,0,4,6,1,1,7,1,5
30,0,0,4,7,1,1,7,1,5
31,0,0,4,7,2,1,8,1,5
32,0,0,4,7,2,1,8,1,5
33,0,0,4,7,2,1,8,1,5
34,0,0,4,7,2,1,8,1,5
35,0,0,5,7,2,1,8,1,6
36,0,0,5,8,2,1,8,3,5
37,0,0,5,8,2,1,8,3,5
38,0,0,5,8,2,1,9,3,5
39,0,0,5,8,2,1,9,3,5
40,0,0,5,8,2,1,9,3,5
41,0,0,5,8,2,1,9,3,5
42,0,0,5,8,2,1,9,3,5
43,0,0,5,8,2,1,9,3,5
44,0,0,6,8,2,1,9,3,5
45,0,0,6,8,2,1,8,3,5
46,0,0,6,8,2,1,7,3,5
47,0,0,6,7,2,1,7,3,5
48,0,0,6,7,2,1,7,3,6
49,0,0,6,7,2,1,6,3,6
50,0,0,6,8,2,1,6,3,6
51,0,0,6,8,2,1,6,3,6
52,0,0,6,9,2,1,6,3,6
53,0,0,6,9,2,1,6,3,6
54,0,0,6,9,2,1,6,3,6
55,0,0,6,9,2,1,6,3,6
56,0,0,6,9,2,1,6,3,5
57,0,0,6,9,2,1,6,3,5
58,0,0,6,9,2,1,6,3,6
59,0,0,6,9,2,1,6,3,6
60,0,0,6,9,2,1,6,3,6
61,0,0,6,9,2,1,6,3,6
62,0,0,6,9,2,1,6,3,5
63,0,0,5,9,2,1,7,3,4
64,0,0,5,9,2,1,8,3,4
65,0,0,5,9,2,1,8,3,4
66,0,0,5,9,2,1,8,3,4
67,0,0,5,9,3,1,8,3,4
68,0,0,5,9,3,1,8,3,3
69,0,0,5,9,3,1,8,4,4
70,0,0,5,10,3,1,8,4,4
71,0,0,5,10,3,1,8,3,4
72,0,0,5,10,3,1,7,3,5
73,0,0,5,9,3,1,8,3,5
74,0,0,5,9,3,1,8,3,5
75,0,0,5,10,3,1,8,3,5
76,0,0,5,10,3,1,7,2,5
77,0,0,5,10,3,1,7,2,5
78,0,0,6,11,3,1,7,2,5
79,0,0,6,11,3,1,9,2,5
80,0,0,6,11,3,1,9,2,5
81,0,0,6,11,3,1,9,2,5
82,0,0,6,11,2,1,9,2,5
83,0,0,6,11,2,1,9,2,5
84,0,0,6,11,2,1,9,2,5
85,0,0,8,11,2,1,9,2,5
86,0,0,8,12,2,1,9,2,5
87,0,0,8,12,2,1,10,2,5
88,0,0,9,12,3,1,11,2,5
89,0,0,10,12,3,1,11,3,6
90,0,0,10,11,3,1,12,3,7
91,0,0,10,11,4,1,12,5,7
92,0,0,10,11,4,1,13,5,7
93,0,0,10,11,4,1,13,5,7
94,0,0,10,11,4,1,14,6,7
95,0,0,10,11,4,1,14,6,7
96,0,0,10,12,4,1,13,5,7
97,0,0,10,12,4,1,13,5,8
98,0,0,10,12,4,1,13,5,8
99,0,0,10,12,4,1,14,5,8
100,0,0,11,12,4,1,14,5,8
101,0,0,11,12,4,1,15,5,8
102,0,0,12,12,4,2,16,5,8
103,0,0,12,12,4,2,16,5,8
104,0,0,12,13,4,3,16,5,7
105,0,0,12,12,4,3,16,5,7
106,0,0,13,12,4,4,16,6,7
107,0,0,13,13,5,4,16,6,7
108,0,0,13,13,5,4,17,6,7
109,0,0,13,13,5,5,17,6,7
110,0,0,13,13,5,6,17,5,8
111,0,0,13,13,6,6,17,6,8
112,0,0,13,13,7,6,17,6,8
113,0,0,13,13,7,6,17,6,8
114,0,0,13,13,7,6,16,5,8
115,0,0,13,15,7,6,16,5,8
116,0,0,14,15,7,6,16,4,8
117,0,0,13,15,6,5,15,4,8
118,0,0,14,16,8,5,15,4,8
119,0,0,14,15,8,5,15,5,9
120,0,0,15,17,8,5,17,5,10
121,0,0,15,17,8,4,19,5,10
122,0,0,15,17,8,4,20,5,10
123,0,0,16,17,8,4,20,5,10
124,0,0,16,17,8,4,20,5,10
125,0,0,15,17,7,4,20,5,10
126,0,0,15,17,8,4,18,5,10
127,0,0,15,17,8,4,18,5,10
128,0,0,15,17,8,4,18,5,10
129,0,0,15,18,8,4,18,5,10
130,0,0,15,18,8,4,19,6,10
131,0,0,15,18,10,4,19,6,10
132,0,0,15,18,9,5,18,7,11
133,0,0,17,18,10,5,18,7,11
134,0,0,18,18,11,5,18,7,11
135,0,0,19,18,11,5,18,7,11
136,0,0,20,18,11,5,18,8,11
137,0,0,19,19,11,5,18,8,11
138,0,0,19,18,11,5,18,8,11
139,0,0,20,19,11,5,18,8,11
140,0,0,20,19,11,5,18,9,11
141,0,0,21,19,11,5,18,9,11
142,0,0,21,19,11,5,19,9,11
143,0,0,22,19,11,5,19,9,11
144,0,0,22,19,11,4,20,9,12
145,0,0,22,19,10,4,20,9,13
146,0,0,22,19,10,4,20,10,13
147,0,0,22,19,10,3,19,10,13
148,0,0,22,18,10,3,19,10,13
149,0,0,22,17,10,3,20,10,13
150,0,0,23,17,10,3,19,10,13
151,0,0,24,17,10,3,20,10,13
152,0,0,24,17,10,3,19,9,13
153,0,0,25,17,10,3,19,9,13
154,0,0,24,18,9,3,19,9,13
155,0,0,24,18,9,3,20,10,13
156,0,0,23,18,8,3,20,9,13
157,0,0,24,18,8,3,20,9,13
158,0,0,24,18,9,3,21,10,12
159,0,0,23,18,9,3,21,10,12
160,0,0,23,17,9,3,21,10,11
161,0,0,23,17,9,4,21,10,11
162,0,0,23,17,9,4,21,10,11
163,0,0,23,17,9,4,21,10,11
164,0,0,23,17,9,4,21,10,9
165,0,0,23,17,9,5,22,10,9
166,0,0,22,18,8,5,20,10,9
167,0,0,22,19,8,5,20,10,9
168,0,0,22,19,8,5,20,10,10
169,0,0,22,19,8,5,20,11,11
170,0,0,21,19,8,4,20,11,12
171,0,0,21,19,8,4,19,11,12
172,0,0,21,18,8,4,19,11,12
173,0,0,21,18,9,4,19,11,12
174,0,0,21,19,9,4,18,11,11
175,0,0,21,19,9,4,17,11,10
176,0,0,19,19,8,4,17,11,10
177,0,0,19,19,8,4,17,11,10
178,0,0,20,19,8,4,17,11,10
179,0,0,20,18,8,4,17,11,10
180,0,0,20,18,7,4,17,11,10
181,0,0,20,18,7,4,16,11,10
182,0,0,20,19,7,5,17,11,10
183,0,0,21,20,7,5,18,11,11
184,0,0,21,19,8,4,17,10,11
185,0,0,22,20,8,4,16,10,11
186,0,0,22,19,8,4,14,10,10
187,0,0,22,19,7,4,17,10,10
188,0,0,23,19,7,4,16,10,10
189,0,0,23,19,7,4,16,10,10
190,0,0,23,18,7,4,17,10,10
191,0,0,22,18,7,4,18,9,10
192,0,0,21,18,7,4,18,9,9
193,0,0,21,20,7,4,21,9,9
194,0,0,21,20,7,4,21,9,9
195,0,0,21,20,7,4,21,9,9
196,0,0,22,20,7,4,21,10,9
197,0,0,25,20,7,4,21,10,8
198,0,0,25,20,7,4,21,9,7
199,0,0,26,21,6,4,20,8,7
200,0,0,25,20,7,4,20,7,7
201,0,0,25,21,7,4,20,7,7
202,0,0,25,21,7,4,20,7,7
203,0,0,25,21,7,4,20,7,6
204,0,0,25,21,7,4,19,7,6
205,0,0,25,21,7,4,21,7,6
206,0,0,25,21,7,4,20,9,6
207,0,0,24,22,7,4,20,9,6
208,0,0,23,23,7,4,20,9,6
209,0,0,22,22,7,5,20,9,6
210,0,0,22,20,7,5,20,9,6
211,0,0,22,19,7,5,20,9,7
212,0,0,23,19,7,5,21,9,7
213,0,0,24,21,7,5,20,7,7
214,0,0,25,21,7,5,19,6,7
215,0,0,25,21,6,5,20,5,7
216,0,0,25,21,7,5,20,5,8
217,0,0,25,20,7,5,18,5,8
218,0,0,25,20,7,5,18,5,8
219,0,0,26,20,7,5,18,5,8
