update,EQU count,XOR count,NOR count,ANDN count,OR count,ORN count,AND count,NAND count,NOT count
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
2,0,0,0,2,0,0,0,0,0
3,0,0,0,3,0,0,0,0,0
4,0,0,0,3,0,0,0,0,0
5,0,0,0,3,0,0,0,0,0
6,0,0,0,3,0,0,2,0,0
7,0,0,0,3,0,0,2,0,0
8,0,0,0,3,0,0,2,0,0
9,0,0,0,3,0,0,2,0,0
10,0,0,0,4,0,0,2,0,0
11,0,0,0,4,0,0,2,0,0
12,0,0,0,4,0,0,2,0,0
13,0,0,0,4,0,0,2,0,0
14,0,0,0,4,0,0,2,0,0
15,0,0,0,4,0,0,2,0,0
16,0,0,0,4,0,0,3,0,0
17,0,0,0,4,0,0,4,0,0
18,0,0,0,4,0,0,4,0,0
19,0,0,0,4,0,0,4,0,0
20,0,0,0,4,0,0,4,0,0
21,0,0,1,4,0,0,4,0,0
22,0,0,1,4,0,0,4,0,1
23,0,0,1,4,0,0,4,0,1
24,0,0,1,4,0,0,4,0,1
25,0,0,1,5,0,1,4,0,1
26,0,0,1,5,0,2,4,0,1
27,0,0,1,5,0,2,4,0,1
28,0,0,1,5,0,2,4,0,1
29,0,0,1,5,0,2,7,0,1
30,0,0,2,5,0,2,7,0,1
31,0,0,2,5,0,2,7,0,1
32,0,0,2,6,0,2,7,0,1
33,0,0,2,6,0,2,7,0,1
34,0,0,2,6,0,2,7,0,1
35,0,0,3,6,0,2,7,0,1
36,0,0,3,6,0,2,7,0,0
37,0,0,3,6,0,2,7,0,0
38,0,0,3,6,0,2,7,0,0
39,0,0,3,6,0,2,7,0,0
40,0,0,3,6,0,2,7,0,0
41,0,0,3,6,0,2,7,0,0
42,0,0,4,6,0,2,7,0,0
43,0,0,4,6,0,2,7,0,0
44,0,0,4,6,0,2,7,0,1
45,0,0,4,6,0,2,8,0,1
46,0,0,3,6,0,2,8,0,1
47,0,0,3,6,0,2,8,0,0
48,0,0,3,7,0,2,8,0,0
49,0,0,3,7,0,2,8,0,0
50,0,0,3,7,0,2,8,1,1
51,0,0,3,7,0,2,8,1,1
52,0,0,3,7,1,2,8,1,1
53,0,0,3,8,1,2,8,1,1
54,0,0,4,9,1,2,8,1,1
55,0,0,5,9,1,2,8,1,1
56,0,0,5,9,1,2,8,1,1
57,0,0,5,9,1,2,8,1,1
58,0,0,5,9,1,2,9,1,1
59,0,0,6,9,1,2,9,1,1
60,0,0,6,8,1,2,9,1,1
61,0,0,7,8,1,2,8,1,1
62,0,0,7,9,1,2,8,1,1
63,0,0,8,9,1,2,8,1,2
64,0,0,8,9,1,2,8,1,2
65,0,0,9,10,1,2,8,1,2
66,0,0,9,11,1,2,9,1,2
67,0,0,9,11,1,2,9,1,3
68,0,0,10,12,1,2,10,1,3
69,0,0,10,13,1,2,10,1,4
70,0,0,11,13,1,2,10,1,4
71,0,0,11,14,1,2,10,1,5
72,0,0,11,13,1,2,9,1,5
73,0,0,12,13,1,2,9,1,5
74,0,0,12,14,1,2,9,1,5
75,0,0,11,14,1,2,10,1,5
76,0,0,11,14,1,2,9,1,5
77,0,0,11,14,1,2,9,1,4
78,0,0,11,14,1,2,8,0,4
79,0,0,11,15,1,2,8,0,4
80,0,0,11,15,1,2,8,0,4
81,0,0,11,15,1,2,8,0,4
82,0,0,11,15,1,2,9,0,4
83,0,0,11,15,1,2,9,0,4
84,0,0,11,15,1,2,10,0,4
85,0,0,11,15,1,2,10,0,4
86,0,0,11,15,1,2,10,0,5
87,0,0,11,15,1,2,10,0,5
88,0,0,11,15,1,2,10,0,5
89,0,0,11,15,1,2,10,0,4
90,0,0,11,15,1,2,11,0,3
91,0,0,13,15,1,1,12,0,3
92,0,0,15,15,1,1,12,0,3
93,0,0,16,14,1,1,12,0,3
94,0,0,16,13,1,1,13,0,3
95,0,0,17,13,1,1,13,0,3
96,0,0,16,13,1,1,13,0,3
97,0,0,17,12,1,1,15,0,3
98,0,0,17,13,1,2,15,0,3
99,0,0,18,13,1,2,15,0,3
100,0,0,18,14,1,2,14,0,3
101,0,0,19,14,1,2,14,0,2
102,0,0,19,15,1,2,14,0,2
103,0,0,19,15,1,2,13,0,2
104,0,0,19,14,1,2,14,0,2
105,0,0,19,14,1,2,14,0,2
106,0,0,19,13,1,2,13,0,2
107,0,0,19,14,1,2,13,0,2
108,0,0,19,13,1,2,12,0,2
109,0,0,19,13,1,2,11,0,2
110,0,0,20,13,1,2,10,0,2
111,0,0,20,12,1,2,10,0,2
112,0,0,20,12,1,2,10,0,2
113,0,0,20,12,1,2,10,0,2
114,0,0,20,12,1,2,12,0,2
115,0,0,21,12,1,2,12,0,2
116,0,0,21,12,1,2,13,0,2
117,0,0,22,12,1,2,14,0,2
118,0,0,22,12,1,1,13,0,2
119,0,0,22,12,2,1,13,0,2
120,0,0,21,12,2,1,13,0,3
121,0,0,21,12,2,1,13,0,3
122,0,0,21,12,3,1,12,0,3
123,0,0,21,12,3,1,12,0,3
124,0,0,22,12,3,1,12,0,3
125,0,0,22,12,3,1,13,0,3
126,0,0,22,11,3,1,13,0,3
127,0,0,21,11,2,1,13,0,3
128,0,0,21,11,2,1,13,0,3
129,0,0,21,12,2,1,13,0,3
130,0,0,21,12,2,1,13,0,3
131,0,0,20,12,2,1,14,0,3
132,0,0,20,12,2,1,14,0,3
133,0,0,21,11,2,1,13,0,3
134,0,0,19,11,2,1,14,0,3
135,0,0,18,12,2,1,14,0,3
136,0,0,18,13,2,1,14,0,3
137,0,0,18,13,2,1,14,0,3
138,0,0,18,12,2,1,14,0,3
139,0,0,18,12,1,1,14,0,3
140,0,0,18,12,2,1,14,0,3
141,0,0,17,13,2,1,14,0,4
142,0,0,18,13,2,1,15,0,4
143,0,0,18,13,2,1,14,0,4
144,0,0,18,13,2,1,15,0,4
145,0,0,17,14,2,1,15,0,4
146,0,0,17,14,2,1,15,0,3
147,0,0,16,14,2,1,15,0,3
148,0,0,16,14,2,1,15,0,3
149,0,0,16,14,2,1,15,0,3
150,0,0,16,15,2,1,14,0,3
151,0,0,15,15,2,1,14,0,4
152,0,0,14,15,2,1,15,0,4
153,0,0,15,14,2,2,15,0,4
154,0,0,15,14,2,2,15,0,4
155,0,0,15,15,2,2,15,0,4
156,0,0,16,17,1,2,15,0,4
157,0,0,16,16,1,2,16,0,4
158,0,0,17,17,0,2,14,0,4
159,0,0,16,16,0,2,14,0,3
160,0,0,15,15,0,3,14,0,4
161,0,1,14,15,0,3,15,0,4
162,0,1,14,15,0,3,15,0,3
163,0,1,14,15,0,3,15,0,2
164,0,1,14,15,0,3,16,0,2
165,0,1,13,15,0,3,16,0,1
166,0,1,13,14,0,3,16,0,1
167,0,1,14,12,0,3,16,0,1
168,0,1,15,13,1,3,16,0,1
169,0,1,17,13,1,3,16,0,1
170,0,1,16,13,2,3,16,0,2
171,0,1,16,13,2,3,16,0,2
172,0,1,16,12,2,4,15,0,2
173,0,1,15,12,2,4,15,0,2
174,0,1,15,12,2,5,15,0,2
175,0,1,15,12,2,5,16,1,2
176,0,0,15,12,2,5,17,1,2
177,0,0,16,12,2,5,18,1,2
178,0,0,16,12,2,5,18,1,2
179,0,0,17,12,2,5,19,1,2
180,0,0,17,14,2,5,19,1,2
181,0,0,17,13,2,5,19,1,2
182,0,0,17,13,2,5,19,1,2
183,0,0,17,13,2,5,18,1,2
184,0,0,17,13,2,5,18,1,3
185,0,0,17,13,2,5,18,1,3
186,0,0,16,13,2,5,18,1,3
187,0,0,15,12,2,5,18,1,3
188,0,0,15,11,2,5,18,1,3
189,0,0,15,11,2,4,18,1,3
190,0,0,15,11,2,4,18,1,3
191,0,0,15,10,2,4,18,2,3
192,0,0,15,10,2,4,18,2,3
193,0,0,15,10,2,4,17,2,3
194,0,0,15,9,2,4,17,3,3
195,0,0,15,9,2,4,18,4,4
196,0,0,15,9,2,4,17,4,4
197,0,0,14,9,2,4,17,4,4
198,0,0,14,9,2,4,17,4,3
199,0,0,14,10,2,4,17,4,3
200,0,0,14,9,2,4,17,4,3
201,0,0,13,8,2,4,18,4,3
202,0,0,13,8,2,4,18,4,4
203,0,0,12,8,2,4,19,5,4
204,0,0,12,8,2,3,19,5,4
205,0,0,12,8,2,3,17,5,4
206,0,0,12,8,2,3,17,5,4
207,0,0,12,8,2,3,17,5,4
208,0,0,11,9,2,3,17,5,4
209,0,0,12,9,2,3,17,5,4
210,0,0,12,9,2,3,17,5,4
211,0,0,13,9,2,3,17,5,5
212,0,0,13,9,2,3,16,5,5
213,0,0,14,9,2,3,17,5,5
214,0,0,14,7,2,3,17,5,4
215,0,0,14,7,2,3,17,5,4
216,0,0,12,8,3,3,17,5,4
217,0,0,11,8,2,4,17,5,4
218,0,0,11,7,2,4,18,5,4
219,0,0,13,7,3,4,18,5,4
